Country,Continent,Population,GDP,GDP/capita,Oil,Natural Gas,Coal,Nuclear energy,Fossil Fuels,Fossil fuels/capita,Renewables/capita
Argentina,South America,44938712,4.49663E+11,10006.14897,2.8,82.3,0.7,8.4,94.2,2096.0,182.3
Australia,Oceania,25364307,1.39268E+12,54907.10191,5.8,54.4,149.5,,209.6,8265.0,323.0
Brazil,South America,211049527,1.83976E+12,8717.186278,7.9,58.9,25.7,16.2,108.6,514.8,38.8
Canada,North America,37589262,1.73643E+12,46194.72523,4.1,69.3,54.6,100.5,228.5,6078.3,218.0
China,Asia,1397715000,1.43429E+13,10261.67913,6.0,236.5,4853.7,348.7,5444.9,3895.6,5.9
Germany,Europe,83132799,3.84563E+12,46258.87829,5.1,91.0,171.2,75.1,342.4,4118.4,98.6
India,Asia,1366417754,2.87514E+12,2104.1459,8.2,71.0,1137.4,45.2,1261.7,923.4,6.0
Indonesia,Asia,270625568,1.11919E+12,4135.569263,17.3,51.6,177.0,,245.9,908.6,30.3
Italy,Europe,60297396,2.00124E+12,33189.5658,10.2,126.5,29.7,,166.4,2759.3,135.9
Japan,Asia,126264931,5.08177E+12,40246.88013,44.7,362.4,326.2,65.6,798.9,6327.2,64.9
Kazakhstan,Asia,18513930,1.80162E+11,9731.145207,0.8,20.8,78.1,,99.7,5383.4,442.5
Mexico,North America,127575529,1.25829E+12,9863.072699,37.7,205.6,26.3,11.3,280.8,2201.4,64.2
Netherlands,Europe,17332850,9.0907E+11,52447.83144,1.4,71.0,17.4,3.9,93.7,5405.7,472.7
Poland,Europe,37970874,5.92164E+11,15595.22703,1.2,14.8,121.9,,137.9,3631.0,215.8
Russian Federation,Europe,144373535,1.69988E+12,11774.15638,6.9,519.5,182.2,209.0,917.6,6356.0,56.7
Saudi Arabia,Asia,34268528,7.92967E+11,23139.79866,149.6,206.0,,,355.6,10377.5,239.1
South Africa,Africa,58558270,3.51432E+11,6001.400814,1.2,1.9,217.3,14.2,234.6,4006.3,139.9
Spain,Europe,47076781,1.39412E+12,29613.67114,13.4,86.0,13.1,58.4,170.9,3631.0,174.0
Turkey,Asia,83429615,7.54412E+11,9042.492983,0.2,58.1,114.6,,172.8,2071.8,98.2
United Kingdom,Europe,66834405,2.82711E+12,42300.26713,1.0,132.5,6.9,56.2,196.6,2941.2,122.6
United States,North America,328239523,2.13744E+13,65118.35833,20.0,1700.9,1053.5,852.0,3626.4,11048.0,25.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,